Model,Params,Accuracy,Recall,F1,ROC-AUC
Random Baseline,--,~0.50,0.358,0.364,--
Majority Baseline,--,~0.67,0.000,0.000,--
EDA Threshold,--,~0.60,0.866,0.792,--
Logistic Regression,~150 feat.,0.964 +/- 0.072,0.954 +/- 0.134,0.947 +/- 0.105,0.976 +/- 0.062
Random Forest,~150 feat.,0.966 +/- 0.077,0.965 +/- 0.081,0.956 +/- 0.086,0.996 +/- 0.011
1D-CNN Teacher (Multi-Scale),~266K,0.987 +/- 0.024,0.986 +/- 0.041,0.981 +/- 0.035,0.995 +/- 0.014
MicroCNN (standalone),~5K,0.968 +/- 0.065,0.975 +/- 0.092,0.957 +/- 0.084,0.985 +/- 0.034
MicroCNN (distilled),~5K,0.998 +/- 0.006,0.996 +/- 0.013,0.996 +/- 0.009,1.000 +/- 0.002
TinyCNN (standalone),~15K,0.988 +/- 0.024,0.986 +/- 0.041,0.983 +/- 0.035,0.996 +/- 0.012
TinyCNN (distilled),~15K,0.986 +/- 0.026,0.979 +/- 0.046,0.979 +/- 0.037,0.995 +/- 0.012
MiniCNN-LSTM (standalone),~28K,0.986 +/- 0.026,0.982 +/- 0.066,0.979 +/- 0.042,0.995 +/- 0.016
MiniCNN-LSTM (distilled),~28K,0.995 +/- 0.012,0.993 +/- 0.026,0.993 +/- 0.018,0.997 +/- 0.011
MicroCNN_ablation (distilled),~5K,0.998 +/- 0.006,0.996 +/- 0.013,0.996 +/- 0.009,1.000 +/- 0.002
